292,246,177,472
293,247,176,473
294,244,179,474
295,245,178,475
288,242,181,476
289,243,180,477
290,240,183,478
291,241,182,479
300,254,185,464
301,255,184,465
302,252,187,466
303,253,186,467
296,250,189,468
297,251,188,469
298,248,191,470
299,249,190,471
308,230,161,456
309,231,160,457
310,228,163,458
311,229,162,459
304,226,165,460
305,227,164,461
306,224,167,462
307,225,166,463
316,238,169,448
317,239,168,449
318,236,171,450
319,237,170,451
312,234,173,452
313,235,172,453
314,232,175,454
315,233,174,455
